DriverNumber,BroadcastName,TeamName,Time,Status
1,M VERSTAPPEN,Red Bull Racing,,
10,P GASLY,Alpine,,
11,S PEREZ,Red Bull Racing,,
14,F ALONSO,Aston Martin,,
16,C LECLERC,Ferrari,,
18,L STROLL,Aston Martin,,
2,L SARGEANT,Williams,,
20,K MAGNUSSEN,Haas F1 Team,,
22,Y TSUNODA,RB,,
23,A ALBON,Williams,,
24,G ZHOU,Kick Sauber,,
27,N HULKENBERG,Haas F1 Team,,
3,D RICCIARDO,RB,,
31,E OCON,Alpine,,
38,nan,Ferrari,,
4,L NORRIS,McLaren,,
44,L HAMILTON,Mercedes,,
55,C SAINZ,Ferrari,,
63,G RUSSELL,Mercedes,,
77,V BOTTAS,Kick Sauber,,
81,O PIASTRI,McLaren,,
